,brand,vintage,rating,price,num_ratings,location
270,Alex Gambal,Saint-Aubin 1er Cru 'Les Murgers des Dents de Chien' 2014,4.5,69.99,47,"Saint-Aubin 1er Cru 'Les Murgers des Dents de Chien', France"
271,Pegau,Châteauneuf-du-Pape Cuvée Laurence 2017,4.5,119.99,46,"Châteauneuf-du-Pape, France"
272,Dominio del Águila,Canta la Perdiz 2015,4.5,399.99,45,"Ribera del Duero, Spain"
273,Cascina Chicco,Barolo Riserva Ginestra 2009,4.5,148.99,42,"Barolo, Italy"
274,Feudo Montoni,Vrucara Nero d'Avola 2017,4.5,57.99,42,"Sicilia, Italy"
275,Castello di Ama,Vigneto La Casuccia Chianti Classico Gran Selezione 2015,4.5,204.5,42,"Chianti Classico, Italy"
276,Château La Mission Haut-Brion,Pessac-Léognan (Grand Cru Classé de Graves) 2018,4.5,469.99,42,"Pessac-Léognan, France"
277,Powell & Son,Loechel Shiraz 2017,4.5,129.99,41,"Eden Valley, Australia"
278,Messias,Colheita Port 1963,4.5,474.99,41,"Porto, Portugal"
279,Piero Busso,Viti Vecchie Albesani Barbaresco Riserva 2013,4.5,209.97,41,"Barbaresco, Italy"
280,Pago de Carraovejas,El Anejón 2018,4.5,165.0,40,"Ribera del Duero, Spain"
281,Trossos del Priorat,Pam de Nas 2017,4.5,51.99,39,"Priorat, Spain"
282,Jorge Ordóñez,No. 3 Old Vines 2006,4.5,62.6,38,"Málaga, Spain"
283,La Rioja Alta,Viña Ardanza Reserva Selección Especial 2015,4.5,45.99,37,"Rioja, Spain"
284,Yalumba,The Caley Cabernet - Shiraz 2016,4.5,195.0,34,"South Australia, Australia"
285,Isole e Olena,Cabernet Sauvignon Toscana Collezione Privata 2017,4.5,104.99,33,"Toscana, Italy"
286,Abelis Carthago,Fighting Bulls 2015,4.5,59.99,32,"Toro, Spain"
287,Giusti,Umberto I Rosso Veneto 2015,4.5,64.99,32,"Montello e Colli Asolani, Italy"
288,Tirecul la Gravière,Cuvée Madame Monbazillac 1998,4.5,63.7,30,"Monbazillac, France"
289,Clos du Caillou,Châteauneuf-du-Pape 2019,4.5,55.99,28,"Châteauneuf-du-Pape, France"
290,Vins Pepe Raventós,Mas del Serral 2010,4.5,159.98,28,"Penedès, Spain"
291,Terroir Al Límit Soc. Lda,Les Tosses 2017,4.5,298.99,27,"Priorat, Spain"
292,Domaine du Pavillon,Pommard 'Clos des Ursulines' (Monopole) 2019,4.5,79.99,27,"Pommard, France"
293,Roberto Cipresso,Brunello di Montalcino 2017,4.5,130.0,26,"Brunello di Montalcino, Italy"
294,Alfredosa,Montefalco Sagrantino 2011,4.5,93.94,26,"Montefalco Sagrantino, Italy"
295,Powell & Son,Loechel Shiraz 2018,4.5,129.99,26,"Eden Valley, Australia"
296,M. Chapoutier,Ermitage l'Ermite Blanc 2008,4.5,284.0,26,"Hermitage, France"
297,Catena Zapata,Adrianna Vineyard Fortuna Terrae Malbec 2019,4.5,144.99,25,"Mendoza, Argentina"
298,Laurent-Perrier,Brut Cuvée Champagne Rosé N.V.,4.4,74.98,35564,"Champagne, France"
299,Ruinart,Blanc de Blancs Brut Champagne N.V.,4.4,83.99,34611,"Champagne, France"
300,Billecart-Salmon,Brut Rosé Champagne N.V.,4.4,95.99,22019,"Champagne, France"
301,W. & J. Graham's,20 Year Old Tawny Port N.V.,4.4,64.99,12038,"Porto, Portugal"
302,Pago de Carraovejas,Tinto 2015,4.4,140.0,8141,"Ribera del Duero, Spain"
303,La Rioja Alta,Viña Ardanza Reserva 2015,4.4,48.99,6788,"Rioja, Spain"
304,El Enemigo,Bonarda 2017,4.4,24.99,5410,"Mendoza, Argentina"
305,Matarromera,Ribera del Duero Reserva 2016,4.4,68.0,5291,"Ribera del Duero, Spain"
306,Billecart-Salmon,Blanc de Blancs Brut Champagne Grand Cru N.V.,4.4,89.9,5096,"Champagne Grand Cru, France"
307,Masi,Costasera Amarone della Valpolicella Classico 2016,4.4,59.72,4602,"Amarone della Valpolicella Classico, Italy"
308,Abadía Retuerta,Selección Especial 2017,4.4,49.5,4427,"Sardón de Duero, Spain"
309,Viña Cobos,Bramare Malbec Lujan de Cuyo 2016,4.4,96.99,3821,"Lujan de Cuyo, Argentina"
310,Ornellaia,Le Serre Nuove 2019,4.4,63.99,3711,"Bolgheri, Italy"
311,Armand de Brignac,Brut Champagne (Gold) N.V.,4.4,294.94,3648,"Champagne, France"
312,Emilio Moro,Malleolus 2019,4.4,52.5,3171,"Ribera del Duero, Spain"
313,El Enemigo,Bonarda 2018,4.4,26.7,2984,"Mendoza, Argentina"
314,Château Pontet-Canet,Pauillac (Grand Cru Classé) 2012,4.4,199.97,2890,"Pauillac, France"
315,Quinta do Crasto,Reserva Vinhas Velhas 2016,4.4,42.75,2774,"Douro, Portugal"
316,Viña Vik Winery,Milla Cala 2016,4.4,44.69,2685,"Cachapoal Valley, Chile"
317,Bodegas Mauro,Red 2019,4.4,53.7,2680,"Castilla y León, Spain"
318,Viña Cobos,Bramare Malbec Uco Valley 2017,4.4,42.99,2600,"Uco Valley, Argentina"
319,San Marzano,62 Anniversario Primitivo di Manduria Riserva 2017,4.4,40.61,2266,"Primitivo di Manduria, Italy"
320,Château Pontet-Canet,Pauillac (Grand Cru Classé) 2000,4.4,245.0,2220,"Pauillac, France"
321,Juan Gil,Jumilla Blue Label 2019,4.4,36.99,2052,"Jumilla, Spain"
322,Bodegas Roda,Roda I Reserva Rioja 2011,4.4,85.0,2010,"Rioja, Spain"
323,Egly-Ouriet,V.P Extra Brut Champagne Grand Cru 'Ambonnay' N.V.,4.4,175.0,1970,"Champagne Grand Cru 'Ambonnay', France"
324,Zenato,Amarone della Valpolicella Classico 2017,4.4,44.98,1966,"Amarone della Valpolicella Classico, Italy"
325,Château Pichon Longueville Comtesse de Lalande,Pauillac (Grand Cru Classé) 2006,4.4,279.99,1917,"Pauillac, France"
326,Château Pape Clément,Pessac-Léognan (Grand Cru Classé de Graves) 2014,4.4,139.99,1798,"Pessac-Léognan, France"
327,Pommery,Cuvée Louise Brut Champagne 2004,4.4,146.99,1761,"Champagne, France"
328,Viña Cobos,Bramare Cabernet Sauvignon 2017,4.4,40.0,1710,"Lujan de Cuyo, Argentina"
329,Aalto,Tinto 2019,4.4,64.98,1681,"Ribera del Duero, Spain"
330,Bodegas Roda,Roda I Reserva Rioja 2016,4.4,75.0,1553,"Rioja, Spain"
331,Château Pape Clément,Pessac-Léognan (Grand Cru Classé de Graves) 2016,4.4,149.99,1531,"Pessac-Léognan, France"
332,Château Brane-Cantenac,Margaux (Grand Cru Classé) 2005,4.4,184.99,1476,"Margaux, France"
333,Luca,Old Vine Malbec 2019,4.4,37.49,1472,"Uco Valley, Argentina"
334,Perrier-Jouët,Belle Epoque Brut Champagne 2013,4.4,184.99,1472,"Champagne, France"
335,Hacienda Monasterio,Cosecha 2019,4.4,57.92,1342,"Ribera del Duero, Spain"
336,Remírez de Ganuza,Rioja Reserva 2010,4.4,160.0,1284,"Rioja, Spain"
337,Cos d'Estournel,Cos d'Estournel 1986,4.4,299.99,1261,"Saint-Estèphe, France"
338,Remírez de Ganuza,Rioja Reserva 2009,4.4,135.0,1199,"Rioja, Spain"
339,Montes,Montes Alpha M Red 2018,4.4,94.99,1126,"Colchagua Valley, Chile"
340,Château Lynch-Bages,Pauillac (Grand Cru Classé) 2015,4.4,229.99,1121,"Pauillac, France"
341,Dal Forno Romano,Valpolicella Superiore Monte Lodoletta 2010,4.4,230.0,1048,"Valpolicella, Italy"
342,Charles Heidsieck,Brut Millésimé 2012,4.4,105.3,1036,"Champagne, France"
343,Montes,Montes Alpha M Red 2017,4.4,99.99,1031,"Colchagua Valley, Chile"
344,Bodegas Mauro,VS 2015,4.4,133.99,1007,"Castilla y León, Spain"
345,Dal Forno Romano,Valpolicella Superiore Monte Lodoletta 2009,4.4,245.0,982,"Valpolicella, Italy"
346,Sena,Aconcagua Valley 2014,4.4,119.99,979,"Aconcagua Valley, Chile"
347,Biondi-Santi,Brunello di Montalcino 2011,4.4,212.6,970,"Brunello di Montalcino, Italy"
348,Cos d'Estournel,Cos d'Estournel 2012,4.4,229.99,952,"Saint-Estèphe, France"
349,Remírez de Ganuza,Rioja Reserva 2007,4.4,179.0,935,"Rioja, Spain"
350,Tenuta Argentiera,Bolgheri Superiore 2017,4.4,99.95,852,"Bolgheri Superiore, Italy"
351,Antinori,Pian delle Vigne Brunello di Montalcino 2017,4.4,49.99,848,"Brunello di Montalcino, Italy"
352,Antinori,Castello della Sala Cervaro della Sala 2020,4.4,57.97,829,"Umbria, Italy"
353,Château Suduiraut,Sauternes (Premier Grand Cru Classé) 2010,4.4,64.99,828,"Sauternes, France"
354,Bodegas Roda,Roda I Reserva Rioja 2005,4.4,112.0,820,"Rioja, Spain"
355,Imperial,Rioja Gran Reserva 2015,4.4,97.99,817,"Rioja, Spain"
356,Guerrieri,Guerriero della Terra 2019,4.4,32.99,816,"Marche, Italy"
357,Bodegas Roda,Roda I Reserva Rioja 2004,4.4,114.0,784,"Rioja, Spain"
358,Cos d'Estournel,Cos d'Estournel 2014,4.4,329.99,757,"Saint-Estèphe, France"
359,Antinori,Tenuta Guado al Tasso Bolgheri Superiore 2000,4.4,149.99,744,"Bolgheri Superiore, Italy"
360,Château Smith Haut-Lafitte,Pessac-Léognan (Grand Cru Classé de Graves) 2016,4.4,189.99,742,"Pessac-Léognan, France"
361,Château Canon-La-Gaffelière,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2010,4.4,209.99,737,"Saint-Émilion Grand Cru, France"
362,Château Rauzan-Ségla,Margaux (Grand Cru Classé) 2009,4.4,309.99,727,"Margaux, France"
363,Château Léoville Barton,Saint-Julien (Grand Cru Classé) 2016,4.4,209.99,711,"Saint-Julien, France"
364,Casanova di Neri,Brunello di Montalcino 2017,4.4,76.58,709,"Brunello di Montalcino, Italy"
365,Château Ducru-Beaucaillou,Saint-Julien (Grand Cru Classé) 2012,4.4,279.99,703,"Saint-Julien, France"
366,Château Margaux,Pavillon Rouge du Château Margaux 2010,4.4,298.99,701,"Margaux, France"
367,Benjamin de Rothschild - Vega Sicilia,Macán Clásico 2018,4.4,82.99,699,"Rioja, Spain"
368,Sena,Aconcagua Valley 2017,4.4,119.99,693,"Aconcagua Valley, Chile"
369,Château Canon-La-Gaffelière,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2015,4.4,284.98,686,"Saint-Émilion Grand Cru, France"
370,Château La Mission Haut-Brion,Pessac-Léognan (Grand Cru Classé de Graves) 2007,4.4,349.99,685,"Pessac-Léognan, France"
371,Louis Roederer,Rosé Brut Champagne (Vintage) 2015,4.4,99.97,659,"Champagne, France"
372,Château Guiraud,Sauternes (Premier Grand Cru Classé) 2015,4.4,77.99,640,"Sauternes, France"
373,Tapiz,Black Tears Malbec 2017,4.4,54.99,638,"Mendoza, Argentina"
374,Ausàs,Interpretación 2018,4.4,71.99,638,"Ribera del Duero, Spain"
375,Château Haut-Bailly,Château Haut-Bailly (Cru Classé de Graves) 2010,4.4,259.99,637,"Pessac-Léognan, France"
376,Argiolas,Turriga Isola dei Nuraghi 2017,4.4,91.99,632,"Isola dei Nuraghi, Italy"
377,Château Haut-Brion,Le Clarence de Haut Brion Pessac-Léognan (Château Bahans Haut-Brion) 2010,4.4,229.99,612,"Pessac-Léognan, France"
378,Ausàs,Interpretación 2017,4.4,75.0,605,"Ribera del Duero, Spain"
379,Château Pichon Longueville Comtesse de Lalande,Pauillac (Grand Cru Classé) 2015,4.4,269.99,599,"Pauillac, France"
380,Château Valandraud,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2015,4.4,229.99,597,"Saint-Émilion Grand Cru, France"
381,Glaetzer,Amon-Ra Shiraz 2017,4.4,99.99,583,"Barossa Valley, Australia"
382,Tommasi,Amarone della Valpolicella Classico 2018,4.4,58.8,580,"Amarone della Valpolicella Classico, Italy"
383,Masi,Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico 2013,4.4,108.0,580,"Amarone della Valpolicella, Italy"
384,Achaval-Ferrer,Finca Mirador Malbec 2010,4.4,89.95,579,"Maipu, Argentina"
385,Villa Degli Olmi,Corte dei Rovi Moscato Spumante N.V.,4.4,14.99,578,"Veneto, Italy"
386,Château Pape Clément,Pessac-Léognan (Grand Cru Classé de Graves) 2018,4.4,144.99,574,"Pessac-Léognan, France"
387,Cignomoro,6 Anime Puglia Rosso 2020,4.4,29.99,571,"Puglia, Italy"
388,Red Schooner,Voyage 10 N.V.,4.4,39.95,550,"Mendoza, Argentina"
389,Bodegas Mauro,VS 2016,4.4,110.0,535,"Castilla y León, Spain"
390,Château Calon-Ségur,Saint-Estèphe (Grand Cru Classé) 2010,4.4,244.99,535,"Saint-Estèphe, France"
391,Volver,Triga 2017,4.4,39.99,532,"Alicante, Spain"
392,Château La Gaffelière,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2010,4.4,169.99,528,"Saint-Émilion Grand Cru, France"
393,Cillar de Silos,Dominio del Pidio 2016,4.4,85.0,520,"Ribera del Duero, Spain"
394,Conti Costanti,Brunello di Montalcino 2015,4.4,139.99,509,"Brunello di Montalcino, Italy"
395,Castellare,Toscana I Sodi di San Niccolo 2017,4.4,113.5,506,"Toscana, Italy"
396,Remírez de Ganuza,Trasnocho 2007,4.4,140.0,481,"Rioja, Spain"
397,Château Margaux,Pavillon Rouge du Château Margaux 2012,4.4,290.0,462,"Margaux, France"
398,Château Montrose,Saint-Estèphe (Grand Cru Classé) 2015,4.4,226.99,439,"Saint-Estèphe, France"
399,Veuve Clicquot,Vintage Rosé Brut Champagne 2012,4.4,109.99,433,"Champagne, France"
400,Grattamacco,Bolgheri Superiore 2018,4.4,114.99,418,"Bolgheri Superiore, Italy"
401,Brunelli,Amarone della Valpolicella Classico 2017,4.4,53.99,412,"Amarone della Valpolicella Classico, Italy"
402,Viñedos de Páganos,El Puntido Gran Reserva 2007,4.4,59.98,408,"Rioja, Spain"
403,Sasso di Sole,Brunello di Montalcino 2016,4.4,60.0,406,"Brunello di Montalcino, Italy"
404,Rafael Palacios,As Sortes Val do Bibei Godello 2019,4.4,78.0,394,"Valdeorras, Spain"
405,Concha y Toro,Carmín de Peumo Carmenère 2018,4.4,245.0,390,"Peumo, Chile"
406,Château Pichon Longueville Comtesse de Lalande,Pauillac (Grand Cru Classé) 2017,4.4,203.25,388,"Pauillac, France"
407,Bouchard Père & Fils,Vigne de l'Enfant Jésus Beaune 1er Cru 'Les Grèves' 2013,4.4,255.0,379,"Beaune 1er Cru 'Les Grèves', France"
408,Sena,Aconcagua Valley 2019,4.4,129.99,377,"Aconcagua Valley, Chile"
409,Contino,Rioja Gran Reserva 2016,4.4,65.7,375,"Rioja, Spain"
410,Allegrini,Amarone della Valpolicella Classico 2018,4.4,79.95,371,"Amarone della Valpolicella Classico, Italy"
411,Château Pontet-Canet,Pauillac (Grand Cru Classé) 2017,4.4,247.99,369,"Pauillac, France"
412,Ciacci Piccolomini d'Aragona,Brunello di Montalcino Pianrosso 2016,4.4,99.99,364,"Brunello di Montalcino, Italy"
413,Château Latour,Les Forts de Latour Pauillac 2012,4.4,414.99,363,"Pauillac, France"
414,Isole e Olena,Chardonnay Toscana Collezione Privata 2019,4.4,60.99,361,"Toscana, Italy"
415,Montes,Purple Angel 2019,4.4,109.99,352,"Colchagua Valley, Chile"
416,Leeuwin Estate,Art Series Chardonnay 2018,4.4,94.99,345,"Margaret River, Australia"
417,Château La Conseillante,Pomerol 2014,4.4,184.99,339,"Pomerol, France"
418,Château Léoville Poyferré,Saint-Julien (Grand Cru Classé) 2018,4.4,199.99,334,"Saint-Julien, France"
419,Viña Cobos,Bramare Cabernet Sauvignon 2018,4.4,39.99,333,"Lujan de Cuyo, Argentina"
420,Château Lassègue,Saint-Émilion Grand Cru 2018,4.4,56.66,327,"Saint-Émilion Grand Cru, France"
421,Santa Carolina,Herencia Carmenère 2009,4.4,109.99,315,"Peumo, Chile"
422,Quinta do Crasto,Tinta Roriz 2015,4.4,80.99,314,"Douro, Portugal"
423,Ferragù,Valpolicella Superiore 2017,4.4,49.99,313,"Valpolicella, Italy"
424,Château Canon,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2016,4.4,224.99,311,"Saint-Émilion Grand Cru, France"
425,Catena Zapata,Nicasia Vineyard Altamira Malbec 2018,4.4,119.99,308,"Paraje Altamira, Argentina"
426,Château Lynch-Bages,Pauillac (Grand Cru Classé) 2018,4.4,204.99,308,"Pauillac, France"
427,Tenuta Santa Maria di Gaetano Bertani,Amarone della Valpolicella Classico Riserva 2015,4.4,88.99,302,"Amarone della Valpolicella Classico, Italy"
428,Château le Loup,Saint-Émilion Grand Cru 2018,4.4,26.99,300,"Saint-Émilion Grand Cru, France"
429,Guerrieri,Guerriero del Mare 2020,4.4,29.99,295,"Marche, Italy"
430,Arceno,Arcanum Toscana 2015,4.4,69.95,288,"Toscana, Italy"
431,Fontodi,Flaccianello della Pieve 2001,4.4,214.99,288,"Colli della Toscana Centrale, Italy"
432,Château La Nerthe,Châteauneuf-du-Pape 2019,4.4,89.0,282,"Châteauneuf-du-Pape, France"
433,Chateau Palmer,Grand Vin de Château Palmer (Grand Cru Classé) 1970,4.4,499.99,281,"Margaux, France"
434,Agrapart & Fils,Minéral Blanc de Blancs Extra Brut Champagne Grand Cru 'Avize' 2011,4.4,215.0,272,"Champagne Grand Cru 'Avize', France"
435,Remírez de Ganuza,Trasnocho 2010,4.4,160.0,270,"Rioja, Spain"
436,Arceno,Valadorna Toscana 2015,4.4,44.95,268,"Toscana, Italy"
437,Cepa 21,Malabrigo Ribera del Duero 2018,4.4,67.6,267,"Ribera del Duero, Spain"
438,Warre's,Vintage Port 1980,4.4,159.99,266,"Porto, Portugal"
439,Pommery,Cuvée Louise Brut Nature Champagne 2004,4.4,232.99,263,"Champagne, France"
440,Warre's,Vintage Port 1994,4.4,119.99,261,"Porto, Portugal"
441,Contino,Viña del Olivo 2014,4.4,130.0,260,"Rioja, Spain"
442,Miraval,Fleur de Miraval Exclusivement Rosé Champagne N.V.,4.4,329.98,258,"Champagne, France"
443,Château Troplong Mondot,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2016,4.4,199.99,258,"Saint-Émilion Grand Cru, France"
444,Martinet,Clos Martinet 2011,4.4,112.99,256,"Priorat, Spain"
445,San Filippo,Le Lucére Brunello di Montalcino 2013,4.4,69.95,254,"Brunello di Montalcino, Italy"
446,Torbreck,Descendant 2004,4.4,85.0,247,"Barossa, Australia"
447,Quinta do Vesuvio,Vintage Port 1995,4.4,74.99,245,"Porto, Portugal"
448,Isole e Olena,Cepparello Red 2018,4.4,103.85,245,"Toscana, Italy"
449,Gaja,Pieve Santa Restituta Brunello di Montalcino 2017,4.4,99.99,242,"Brunello di Montalcino, Italy"
450,Philipponnat,Clos des Goisses Champagne 2008,4.4,415.0,242,"Champagne, France"
451,Alvear,Solera 1830 Pedro Ximénez N.V.,4.4,299.97,240,"Montilla-Moriles, Spain"
452,Château Pichon Baron,Pauillac (Grand Cru Classé) 2018,4.4,244.99,238,"Pauillac, France"
453,Capannelle,50 & 50 2016,4.4,127.99,232,"Toscana, Italy"
454,Château Smith Haut-Lafitte,Pessac-Léognan (Grand Cru Classé de Graves) 2018,4.4,179.99,228,"Pessac-Léognan, France"
455,Château Margaux,Pavillon Rouge du Château Margaux 2015,4.4,298.0,226,"Margaux, France"
456,Bodega Norton,Gernot 2017,4.4,99.99,226,"Lujan de Cuyo, Argentina"
457,Tenuta Luce,Luce 2019,4.4,99.99,223,"Toscana, Italy"
458,Martinet,Clos Martinet 2008,4.4,128.99,222,"Priorat, Spain"
459,Marqués de Riscal,Barón de Chirel Rioja Reserva 2017,4.4,89.99,220,"Rioja, Spain"
460,Capannelle,50 & 50 2017,4.4,130.1,214,"Toscana, Italy"
461,Château Latour à Pomerol,Pomerol 2016,4.4,149.99,213,"Pomerol, France"
462,Château Gouprie,Pomerol 2018,4.4,39.99,210,"Pomerol, France"
463,Sasso di Sole,Brunello di Montalcino 2017,4.4,36.99,207,"Brunello di Montalcino, Italy"
464,Alto Moncayo,Garnacha 2019,4.4,44.98,207,"Campo de Borja, Spain"
465,Santa Carolina,Herencia Carmenère 2011,4.4,99.99,203,"Peumo, Chile"
466,Roagna,Pajè Barbaresco 2015,4.4,145.99,201,"Barbaresco, Italy"
467,Tezza,Corte Majoli Amarone della Valpolicella 2017,4.4,29.99,199,"Amarone della Valpolicella, Italy"
468,Domaine de la Vougeraie,Vougeot 1er Cru 'Le Clos Blanc de Vougeot' (Monopole) 2017,4.4,259.99,196,"Vougeot 1er Cru 'Le Clos Blanc', France"
469,Araucano,Alka Carmenere 2015,4.4,80.99,195,"Colchagua Valley, Chile"
470,Bussola,Valpolicella Classico Superiore TB 2015,4.4,43.2,190,"Valpolicella Classico, Italy"
471,Domaine Georges Vernay,Blonde du Seigneur Côte-Rôtie 2017,4.4,200.0,187,"Côte-Rôtie, France"
472,Martinet,Clos Martinet 2007,4.4,133.99,186,"Priorat, Spain"
473,Luis A. Rodriguez Vazquez,Viña de Martin Escolma Ribeiro 2015,4.4,70.99,184,"Ribeiro, Spain"
474,Albert Grivault,Clos Des Perrières Meursault 1er Cru 2015,4.4,99.97,178,"Meursault Premier Cru, France"
475,Torbreck,RunRig 2007,4.4,179.95,174,"Barossa Valley, Australia"
476,Espectacle del Montsant,Tinto 2014,4.4,161.99,171,"Montsant, Spain"
477,Contino,Viña del Olivo 2015,4.4,174.99,171,"Rioja, Spain"
478,Roagna,Pira Barolo 2015,4.4,145.99,171,"Barolo, Italy"
479,Tinto Pesquera,Millenium Reserva 2015,4.4,139.99,170,"Ribera del Duero, Spain"
480,Avignonesi,Desiderio Merlot 2018,4.4,54.3,170,"Cortona, Italy"
481,Domaine de la Vougeraie,Vougeot 1er Cru 'Le Clos Blanc de Vougeot' (Monopole) 2013,4.4,149.95,169,"Vougeot 1er Cru 'Le Clos Blanc', France"
482,Marqués de Murrieta,Capellanía Reserva 2017,4.4,74.98,168,"Rioja, Spain"
483,Arzuaga,Gran Reserva Ribera del Duero 2014,4.4,123.99,164,"Ribera del Duero, Spain"
484,Mod Sélection,Reserve Champagne N.V.,4.4,349.99,164,"Champagne, France"
485,Marqués de Riscal,Rioja Gran Reserva 2016,4.4,39.9,163,"Rioja, Spain"
486,Sierra Cantabria,Finca el Bosque 2012,4.4,138.5,160,"Rioja, Spain"
487,Alma Negra,Tinto 2019,4.4,28.99,160,"Mendoza, Argentina"
488,Quinta do Noval,Port Tawny Colheita 2005,4.4,73.99,160,"Porto, Portugal"
489,Viña Cobos,Bramare Malbec Lujan de Cuyo 2020,4.4,39.99,158,"Lujan de Cuyo, Argentina"
490,Penfolds,RWT Shiraz 2017,4.4,129.0,158,"Barossa Valley, Australia"
491,Château Clinet,Pomerol 2018,4.4,154.99,155,"Pomerol, France"
492,Bouchard Père & Fils,Volnay Premier Cru Caillerets Ancienne Cuvée Carnot 2017,4.4,139.97,155,"Volnay Premier Cru, France"
493,Château Pontet-Canet,Pauillac (Grand Cru Classé) 2019,4.4,204.99,149,"Pauillac, France"
494,Pommery,Cuvée Louise Brut Champagne 2005,4.4,195.99,148,"Champagne, France"
495,Jean-Luc Colombo,Syrah Cornas Les Ruchets 2012,4.4,119.99,144,"Cornas, France"
496,Catena Zapata,Adrianna Vineyard White Bones Chardonnay 2019,4.4,129.98,138,"Mendoza, Argentina"
497,Gardet,Brut Reserve Champagne Premier Cru N.V.,4.4,39.99,138,"Champagne Premier Cru, France"
498,Vignobles Pueyo,La Fleur Garderose Saint-Émilion Grand Cru 2015,4.4,50.99,137,"Saint-Émilion Grand Cru, France"
499,Château Smith Haut-Lafitte,Pessac-Léognan (Grand Cru Classé de Graves) 2019,4.4,159.99,137,"Pessac-Léognan, France"
500,Terre Nere Campigli Vallone,Brunello di Montalcino Riserva 2015,4.4,79.99,136,"Brunello di Montalcino, Italy"
501,Do Ferreiro (Bodegas Gerardo Mendez),Cepas Vellas Rias Baixas Albariño 2020,4.4,69.99,131,"Rías Baixas, Spain"
502,La Giaretta,Amarone della Valpolicella Classico 2018,4.4,38.94,131,"Amarone della Valpolicella Classico, Italy"
503,Red Schooner,Transit 3 N.V.,4.4,44.99,130,"Wine of Australia, Australia"
504,Corte San Benedetto,Amarone della Valpolicella Classico 2011,4.4,129.0,129,"Amarone della Valpolicella Classico, Italy"
505,Charles Heidsieck,Blanc des Millénaires 2007,4.4,299.99,129,"Champagne, France"
506,Artadi,La Poza de Ballesteros 2014,4.4,84.99,129,"Vino de España, Spain"
507,Cocito,Barbaresco Baluchin Riserva 2012,4.4,60.07,124,"Barbaresco, Italy"
508,Domaine de Trévallon,Alpilles Rouge 2018,4.4,113.4,120,"Alpilles, France"
509,Clos l'Eglise,Pomerol 2015,4.4,129.99,119,"Pomerol, France"
510,Gaja,Ca'Marcanda Bolgheri 2017,4.4,173.99,119,"Bolgheri, Italy"
511,Penfolds,Magill Estate Shiraz 2016,4.4,165.0,119,"Barossa, Australia"
512,Artadi,El Carretil 2010,4.4,325.0,118,"Vino de España, Spain"
513,Bouchard Père & Fils,Beaune 1er Cru 'Clos Saint-Landry' (Monopole) Blanc 2017,4.4,79.97,117,"Beaune Premier Cru, France"
514,Domaine de la Vougeraie,Vougeot 1er Cru 'Le Clos Blanc de Vougeot' (Monopole) 2018,4.4,238.9,115,"Vougeot 1er Cru 'Le Clos Blanc', France"
515,Jean-Luc Colombo,Syrah Cornas Les Ruchets 2015,4.4,119.99,115,"Cornas, France"
516,Quinta do Noval,Vintage Port 2016,4.4,114.99,114,"Porto, Portugal"
517,Château Lafon La Tuilerie,Saint-Emilion Grand Cru 2017,4.4,49.99,113,"Saint-Émilion Grand Cru, France"
518,Quinta do Crasto,Colheita Porto 2000,4.4,57.99,113,"Porto, Portugal"
519,Lapostolle,Vieilles Vignes La Parcelle 8 Apalta 2015,4.4,114.98,113,"Central Valley, Chile"
520,Catena Zapata,Adrianna Vineyard White Stones Chardonnay 2019,4.4,129.99,113,"Mendoza, Argentina"
521,Tenute Ca' Botta,Alta Valpolicella Superiore 2018,4.4,19.99,117,"Valpolicella, Italy"
522,Aurélien Verdet,Vieilles Vignes Vosne-Romanée 2018,4.4,199.97,112,"Vosne-Romanée, France"
523,Domaine de la Vougeraie,Monopole Nuits-Saint-Georges 1er Cru 'Clos de Thorey' 2018,4.4,133.6,111,"Nuits-Saint-Georges 1er Cru 'Aux Thorey', France"
524,Francois Villard,Condrieu DePoncins 2019,4.4,79.99,109,"Condrieu, France"
525,Joh. Jos. Prüm,Wehlener Sonnenuhr Riesling Auslese 2018,4.4,135.0,106,"Wehlen, Germany"
526,Clos Figueras,Clos Figueres 2017,4.4,113.98,104,"Priorat, Spain"
527,Château Margaux,Pavillon Rouge du Château Margaux 2017,4.4,258.98,104,"Margaux, France"
528,Etienne Oudart,Blanc de Noirs Champagne N.V.,4.4,39.99,102,"Champagne, France"
529,Château Léoville Las Cases,Saint-Julien (Grand Cru Classé) 2018,4.4,499.99,101,"Saint-Julien, France"
530,Cascina Chicco,Barolo Riserva Ginestra 2010,4.4,152.99,99,"Barolo, Italy"
531,Zuccardi,Finca Canal Uco 2016,4.4,136.8,99,"Paraje Altamira, Argentina"
532,Jermann,Vintage Tunina 2020,4.4,64.99,98,"Venezia Giulia, Italy"
533,Bodega Contador (Benjamín Romeo),La Cueva del Contador Rioja 2004,4.4,140.0,99,"Rioja, Spain"
534,Poggi,Corte dei Castaldi Amarone della Valpolicella Classico 2017,4.4,34.99,98,"Amarone della Valpolicella Classico, Italy"
535,Fonseca,Vintage Port 2017,4.4,95.99,95,"Porto, Portugal"
